,genes
0,Lhx6
1,Gad2
2,Slc32a1
3,Neurod2
4,Slc6a1
5,Gad1
6,Adarb2
7,Sv2b
8,Nrn1
9,Slc17a7
10,Fezf2
11,Dlx1
12,Prox1
13,Tbr1
14,Nfix
15,Neurod6
16,Satb2
17,Meis2
18,Nxph1
19,Kcnip1
20,Erbb4
21,Dlx5
22,9130024F11Rik
23,Rtn4rl2
24,Zfp536
25,Nfib
26,Nr2f2
27,Crym
28,Mpped1
29,Dlx1as
30,Dlx6os1
31,Cxcl14
32,Rprml
33,Pdlim1
34,Itpka
35,Sp8
36,Crhbp
37,Fam19a1
38,Igf1
39,Npas1
40,Ptprm
41,3110035E14Rik
42,Asic4
43,Hs3st2
44,Elfn1
45,Synpr
46,Cacna2d1
47,Pde1a
48,Rtn4r
49,Arpp21
50,Lypd6
51,Chodl
52,Moxd1
53,Hs3st4
54,Arhgap25
55,Foxp2
56,LOC102632463
57,Calb1
58,Emx1
59,Npas3
60,Gda
61,Caln1
62,Atp6ap1l
63,Nptx1
64,Sema3c
65,Ipcef1
66,Cckbr
67,Slc30a3
68,A530058N18Rik
69,Sez6
70,Galntl6
71,Crh
72,Egr3
73,Pcdh8
74,Stxbp6
75,Cacna2d3
76,Lamp5
77,Tmem163
78,Clic5
79,Klf10
80,Nxph4
81,Nefl
82,Ano3
83,Sncg
84,Htr3a
85,Pthlh
86,Lzts1
87,Grik1
88,Tnfaip8l3
89,Fam135b
90,Kcnv1
91,Rasgef1b
92,Fam212b
93,Pnoc
94,Tmem44
95,Btbd11
96,Tmem132c
97,Rpp25
98,Cplx3
99,Lhx2
100,Sorcs3
101,Cpne7
102,Nov
103,Cobl
104,Sst
105,Ptk2b
106,LOC102634132
107,Grin3a
108,Bhlhe22
109,B3gat1
110,Chst8
111,Kctd8
112,Atp2b4
113,Rprm
114,Lgals1
115,Sox2ot
116,Pcp4l1
117,Kit
118,Igfbp6
119,LOC105243425
120,LOC105246064
121,Gpr88
122,Tox
123,Kcns3
124,Grik3
125,Kcnmb2
126,Adora1
127,Adcy2
128,Ptprk
129,Scube1
130,LOC102634502
131,Sox5
132,Tac1
133,Rasgrp1
134,Itpr1
135,C1ql3
136,Calb2
137,Rasal1
138,Cntnap5c
139,Kcnc2
140,Islr2
141,Dlx2
142,Fxyd7
143,Cnr1
144,Gfra2
145,Kcnip3
146,LOC102633357
147,Lypd6b
148,Tcf4
149,Cbln2
150,Bcl11b
151,Ngf
152,Galnt14
153,Necab1
154,Unc13c
155,Ubash3b
156,Teddm3
157,Thsd7a
158,BC030500
159,Nxph3
160,Cort
161,Cadps2
162,Bmp3
163,Ppp1r1b
164,Sema3a
165,Il17ra
166,Arl4c
167,Adcyap1
168,Ephx4
169,A330050F15Rik
170,Mas1
171,Ptprd
172,Pamr1
173,Arc
174,Brinp3
175,Afap1
176,Fstl5
177,Ldb2
178,Lingo1
179,Slc17a8
180,Dkkl1
181,Thy1
182,Penk
183,Masp1
184,Spon1
185,Vwc2
186,Rtn4rl1
187,Cartpt
188,Pantr1
189,Sall1
190,Rgs14
191,Pde4b
192,Pvalb
193,Bdnf
194,Lypd1
195,Adra1b
196,Dusp10
197,Coro6
198,Megf10
199,Ankrd33b
200,BC048546
201,Cecr6
202,Bcl11a
203,Ly6g6e
204,Pcsk5
205,Slc26a4
206,Gabrd
207,Npy
208,Sp9
209,Tiam2
210,Tox3
211,Tmem91
212,Cdh9
213,Cck
214,Pter
215,Dpy19l1
216,Fmo1
217,Rbp4
218,Col6a1
219,Dbpht2
220,Nacc2
221,Rxfp1
222,Rgs12
223,Kcng1
224,Dtl
225,Sulf1
226,Cntnap3
227,Rgs4
228,S100a10
229,Gpd1
230,Npy1r
231,Lmo7
232,Cpne2
233,Crtac1
234,St6galnac5
235,Fxyd6
236,Luzp2
237,Alcam
238,Lpl
239,Unc5d
240,Tac2
241,Ppapdc1a
242,Satb1
243,Rin1
244,Egln3
245,Pou3f2
246,Id2
247,Slc5a7
248,Inf2
249,Rasgrf2
250,Fndc5
251,Nefm
252,Ptprt
253,Sorcs1
254,Rorb
255,Nfia
256,Rai14
257,5031426D15Rik
258,Cdh13
259,Slit3
260,Neurod1
261,LOC101056001
262,Vstm2b
263,Npy2r
264,Dkk3
265,Nrgn
266,1700086L19Rik
267,Prss12
268,Fstl4
269,Iqgap2
270,Igsf3
271,Nr2e1
272,Rasl11b
273,Plcxd3
274,Shisa8
275,Cntnap5a
276,Ctxn1
277,Th
278,Kcnk2
279,Col14a1
280,Col19a1
281,Parm1
282,Sema5b
283,Fst
284,Grm8
285,Rbms3
286,Cdh6
287,Nek7
288,Baiap2
289,Rapgef5
290,LOC105246694
291,Cpne8
292,Mkx
293,Tmem159
294,Igsf21
295,Rbm24
296,Serinc2
297,Rgs8
298,C030013G03Rik
299,Kirrel3
300,Slc24a3
301,Pcp4
302,Fancd2
303,Pdyn
304,Ramp3
305,Shisa9
306,Tshz3
307,Nell2
308,Tgm3
309,Ovol2
310,Sema5a
311,Klf5
312,Mybpc1
313,Fam19a2
314,Col25a1
315,Fam81a
316,Pde11a
317,Syt6
318,N28178
319,Epha4
320,Gpr126
321,Serpinb8
322,Syt2
323,Chrna4
324,C730002L08Rik
325,1700001L19Rik
326,Rasl10a
327,Galnt9
328,Mgat4c
329,Camk2n2
330,Hapln1
331,Casz1
332,Gpx3
333,Slc5a5
334,Shisa6
335,Kcnf1
336,Zdhhc23
337,LOC105242740
338,Zbtb20
339,Tesc
340,Ak5
341,Sstr2
342,Tox2
343,Myl4
344,Prkcg
345,Extl1
346,Ndst4
347,Igsf11
348,Dlx6
349,Mapk4
350,Sema3e
351,Kcnc4
352,Fhl2
353,Htr1f
354,Mlip
355,Samd5
356,2900079G21Rik
357,Eya4
358,Syndig1
359,Egfr
